epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2818.12,1.0991,0.6411,1.03165,0.80007,0.69236,0.75602,0.49345,1.2053,0.66005,1.12076,0.000848969,0.000848969,0.000848969
43,2873.74,1.12073,0.65219,1.02405,0.88081,0.64103,0.75595,0.50332,1.20228,0.65999,1.11899,0.000834822,0.000834822,0.000834822
44,2929.87,1.08012,0.63598,1.01328,0.73954,0.70458,0.73724,0.49035,1.18504,0.64118,1.10472,0.000820675,0.000820675,0.000820675
45,2988.46,1.09226,0.6273,1.01492,0.78116,0.69104,0.75995,0.50667,1.17633,0.62812,1.10527,0.000806528,0.000806528,0.000806528
46,3044.61,1.08777,0.62447,1.0245,0.90244,0.63268,0.75823,0.50452,1.16702,0.64719,1.09462,0.00079238,0.00079238,0.00079238
47,3104.09,1.0617,0.60676,1.00664,0.87886,0.66767,0.76459,0.50983,1.16078,0.62025,1.08838,0.000778233,0.000778233,0.000778233
48,3163.31,1.08465,0.62114,1.01105,0.84446,0.64722,0.74313,0.48745,1.16813,0.62684,1.09471,0.000764086,0.000764086,0.000764086
49,3219.19,1.07725,0.61336,1.00807,0.79292,0.7199,0.77974,0.51845,1.18063,0.60839,1.10396,0.000749939,0.000749939,0.000749939
50,3275.89,1.06988,0.60104,1.01088,0.83064,0.65283,0.75039,0.48998,1.18978,0.63204,1.10741,0.000735792,0.000735792,0.000735792
51,3334.55,1.05991,0.59737,1.01268,0.85911,0.67934,0.76106,0.49809,1.17822,0.6183,1.09767,0.000721645,0.000721645,0.000721645
52,3391.1,1.06622,0.60787,1.01018,0.81482,0.69765,0.77178,0.50411,1.15791,0.63218,1.10079,0.000707498,0.000707498,0.000707498
53,3447.64,1.04493,0.59398,1.00529,0.83514,0.65665,0.75592,0.49192,1.19034,0.64098,1.11504,0.000693351,0.000693351,0.000693351
54,3506.29,1.05726,0.59713,1.01214,0.85434,0.69418,0.74957,0.49648,1.17174,0.61048,1.09729,0.000679204,0.000679204,0.000679204
55,3564.62,1.05186,0.58848,0.99777,0.82457,0.71242,0.7546,0.50221,1.17198,0.59969,1.08738,0.000665057,0.000665057,0.000665057
56,3621.73,1.07804,0.59852,1.00993,0.74101,0.74267,0.76868,0.51282,1.16355,0.59923,1.09956,0.000650909,0.000650909,0.000650909
57,3679.04,1.05369,0.58757,1.00293,0.74101,0.74986,0.76783,0.50697,1.18247,0.60797,1.10084,0.000636762,0.000636762,0.000636762
58,3737.84,1.02939,0.57001,0.99019,0.7997,0.73016,0.7838,0.52123,1.16303,0.61388,1.09569,0.000622615,0.000622615,0.000622615
59,3794.05,1.04419,0.58341,0.99191,0.78677,0.72749,0.77673,0.5202,1.16002,0.58602,1.09487,0.000608468,0.000608468,0.000608468
60,3850.04,1.03948,0.56879,0.99463,0.8341,0.66339,0.75609,0.50823,1.16593,0.60351,1.09208,0.000594321,0.000594321,0.000594321
61,3910.44,1.02664,0.57479,0.99006,0.84863,0.70261,0.78599,0.52692,1.16266,0.59859,1.0929,0.000580174,0.000580174,0.000580174
62,3967.73,1.0162,0.56074,0.98331,0.84789,0.68036,0.76556,0.50485,1.16099,0.59596,1.09119,0.000566027,0.000566027,0.000566027
63,4024.92,1.02616,0.56219,0.98916,0.83198,0.75274,0.78108,0.51737,1.15164,0.58692,1.08732,0.00055188,0.00055188,0.00055188
64,4085,1.02188,0.55993,0.98808,0.82573,0.73407,0.7712,0.51524,1.17734,0.58998,1.09731,0.000537733,0.000537733,0.000537733
65,4140.43,1.03021,0.56325,0.98743,0.77194,0.7135,0.76889,0.51395,1.17316,0.59155,1.09256,0.000523586,0.000523586,0.000523586
66,4196.02,1.02001,0.55924,0.98785,0.82634,0.74614,0.78691,0.51707,1.18349,0.58703,1.1054,0.000509438,0.000509438,0.000509438
67,4258.88,1.02352,0.55846,0.98608,0.76197,0.74969,0.77564,0.51407,1.17276,0.58757,1.0978,0.000495291,0.000495291,0.000495291
68,4315.46,1.0283,0.555,0.9819,0.83391,0.7363,0.78812,0.51723,1.15389,0.56757,1.08195,0.000481144,0.000481144,0.000481144
69,4371.37,0.99529,0.54132,0.97812,0.82265,0.7226,0.78584,0.51461,1.16238,0.59413,1.08883,0.000466997,0.000466997,0.000466997
70,4431.23,1.00653,0.5458,0.97628,0.84952,0.71204,0.76891,0.51123,1.15776,0.57969,1.09011,0.00045285,0.00045285,0.00045285
71,4487.14,1.00579,0.53966,0.9765,0.88207,0.69508,0.79511,0.52939,1.15648,0.58289,1.09665,0.000438703,0.000438703,0.000438703
72,4542.79,0.98908,0.54748,0.97514,0.85115,0.75123,0.8131,0.5319,1.16603,0.58543,1.08654,0.000424556,0.000424556,0.000424556
73,4601.81,1.00575,0.54397,0.97621,0.79353,0.75083,0.79481,0.52882,1.16605,0.56558,1.09225,0.000410409,0.000410409,0.000410409
74,4658.52,1.00121,0.54437,0.98124,0.86382,0.72969,0.79023,0.53122,1.1477,0.57186,1.07739,0.000396262,0.000396262,0.000396262
75,4720.2,0.98508,0.53095,0.97404,0.87885,0.7036,0.7977,0.53537,1.16943,0.5805,1.09891,0.000382115,0.000382115,0.000382115
76,4781.45,1.00777,0.54323,0.98277,0.8399,0.70621,0.7602,0.50982,1.14826,0.57099,1.0797,0.000367967,0.000367967,0.000367967
77,4838.14,0.98409,0.52696,0.96809,0.82574,0.74854,0.78845,0.5229,1.1682,0.56113,1.09712,0.00035382,0.00035382,0.00035382
78,4897.65,0.99536,0.53333,0.97506,0.87458,0.69727,0.79124,0.53556,1.1633,0.57022,1.09079,0.000339673,0.000339673,0.000339673
79,4959.53,0.97988,0.53021,0.97312,0.87193,0.6845,0.77969,0.51724,1.1682,0.57085,1.09802,0.000325526,0.000325526,0.000325526
80,5017.87,0.98531,0.52061,0.96785,0.80043,0.71639,0.77585,0.50756,1.16677,0.57542,1.09386,0.000311379,0.000311379,0.000311379
81,5077.31,0.96956,0.51163,0.96718,0.83028,0.71932,0.79173,0.52513,1.16394,0.56517,1.08811,0.000297232,0.000297232,0.000297232
82,5137.15,0.9663,0.51024,0.96164,0.83198,0.75101,0.79634,0.52895,1.15747,0.56307,1.08899,0.000283085,0.000283085,0.000283085
83,5194.08,0.97882,0.50833,0.97328,0.81196,0.72506,0.77683,0.51412,1.16801,0.56815,1.09566,0.000268938,0.000268938,0.000268938
84,5254.47,0.97316,0.50989,0.96097,0.90772,0.7013,0.78849,0.52512,1.16443,0.5619,1.09054,0.000254791,0.000254791,0.000254791
85,5314.87,0.95052,0.50261,0.9594,0.82106,0.72909,0.79951,0.5358,1.15418,0.56646,1.0848,0.000240644,0.000240644,0.000240644
86,5373.36,0.96625,0.50218,0.96021,0.79242,0.74072,0.78431,0.52325,1.1547,0.55988,1.08327,0.000226497,0.000226497,0.000226497
87,5435.25,0.96888,0.50104,0.96254,0.80297,0.76217,0.79012,0.52382,1.1409,0.54713,1.07737,0.000212349,0.000212349,0.000212349
88,5496.74,0.93979,0.50319,0.96431,0.83259,0.74817,0.80062,0.5377,1.15366,0.55566,1.08469,0.000198202,0.000198202,0.000198202
89,5553.56,0.9452,0.49238,0.95719,0.84115,0.74466,0.7991,0.53408,1.15429,0.55378,1.09206,0.000184055,0.000184055,0.000184055
90,5614.26,0.94091,0.49409,0.95497,0.83741,0.71343,0.7811,0.5209,1.16369,0.55682,1.09113,0.000169908,0.000169908,0.000169908
91,5676.21,0.94133,0.46424,0.94692,0.7812,0.72927,0.78626,0.51944,1.16561,0.56075,1.08878,0.000155761,0.000155761,0.000155761
92,5731.3,0.92636,0.45016,0.94481,0.79023,0.74219,0.78667,0.51956,1.16762,0.56114,1.09992,0.000141614,0.000141614,0.000141614
93,5790.4,0.91366,0.44064,0.93686,0.85462,0.69636,0.79069,0.51786,1.16544,0.55689,1.0957,0.000127467,0.000127467,0.000127467
94,5850.04,0.90698,0.43214,0.93894,0.85606,0.7187,0.79897,0.51925,1.16683,0.55691,1.09159,0.00011332,0.00011332,0.00011332
95,5908.09,0.90943,0.44149,0.93049,0.83128,0.71062,0.79366,0.52142,1.16198,0.55835,1.09146,9.91726e-05,9.91726e-05,9.91726e-05
96,5971.02,0.89955,0.43294,0.93306,0.85352,0.72096,0.7991,0.52357,1.16607,0.55416,1.09399,8.50255e-05,8.50255e-05,8.50255e-05
97,6029.48,0.91324,0.43636,0.93404,0.85292,0.72103,0.80349,0.53081,1.15783,0.55331,1.08784,7.08784e-05,7.08784e-05,7.08784e-05
98,6091.04,0.90285,0.43129,0.9337,0.86239,0.70587,0.80135,0.53012,1.16069,0.55527,1.09092,5.67313e-05,5.67313e-05,5.67313e-05
99,6150.94,0.90154,0.42845,0.93425,0.83762,0.72036,0.79161,0.51814,1.16185,0.55571,1.09053,4.25842e-05,4.25842e-05,4.25842e-05
100,6205.98,0.89328,0.42431,0.93101,0.87672,0.70037,0.7953,0.5242,1.16054,0.5512,1.08987,2.84371e-05,2.84371e-05,2.84371e-05
