epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9426,1.67895,2.54827,1.3595,0.91583,0.31096,0.46119,0.25895,1.52493,2.23672,1.26818,0.000471211,0.000471211,0.000471211
2,134.45,1.44493,1.5138,1.1835,0.86708,0.45447,0.52562,0.28409,1.49275,1.47824,1.25456,0.000938164,0.000938164,0.000938164
3,190.523,1.42287,1.34216,1.18916,0.89023,0.46995,0.54236,0.32443,1.43905,1.30386,1.27754,0.00139569,0.00139569,0.00139569
4,245.891,1.4013,1.23571,1.16893,0.93278,0.45893,0.55601,0.34955,1.35385,1.10959,1.19351,0.00138656,0.00138656,0.00138656
5,302.156,1.3765,1.12548,1.14265,0.62792,0.5596,0.5925,0.37584,1.34273,1.05013,1.20774,0.00137241,0.00137241,0.00137241
6,358.818,1.34297,1.05889,1.12385,0.92555,0.52865,0.59866,0.3815,1.33377,0.94151,1.17331,0.00135826,0.00135826,0.00135826
7,417.35,1.33245,1.01862,1.13213,0.6804,0.53298,0.5906,0.37525,1.37043,1.09092,1.21368,0.00134412,0.00134412,0.00134412
8,473.156,1.33024,0.97697,1.11852,0.69768,0.61934,0.65303,0.4196,1.33996,0.99458,1.19341,0.00132997,0.00132997,0.00132997
9,529.32,1.31728,0.95391,1.13198,0.878,0.50674,0.60859,0.39218,1.29089,0.95506,1.16779,0.00131582,0.00131582,0.00131582
10,584.489,1.27507,0.92363,1.10607,0.6762,0.62515,0.66776,0.41111,1.43491,0.91926,1.26653,0.00130168,0.00130168,0.00130168
11,643.967,1.26602,0.8853,1.11568,0.84679,0.64295,0.73302,0.47799,1.25752,0.82163,1.1418,0.00128753,0.00128753,0.00128753
12,699.812,1.25186,0.8676,1.104,0.76674,0.59978,0.68651,0.44692,1.24662,0.85376,1.13762,0.00127338,0.00127338,0.00127338
13,756.577,1.26183,0.86803,1.09134,0.75277,0.61634,0.67701,0.4253,1.31326,0.90541,1.16246,0.00125923,0.00125923,0.00125923
14,813.894,1.24184,0.83043,1.08332,0.85013,0.68765,0.76559,0.508,1.24251,0.77223,1.12276,0.00124509,0.00124509,0.00124509
15,873.301,1.21962,0.8065,1.07898,0.75969,0.64151,0.73889,0.49623,1.22482,0.74154,1.12468,0.00123094,0.00123094,0.00123094
16,932.231,1.24258,0.80415,1.08178,0.76316,0.72,0.77538,0.53269,1.21702,0.75639,1.12232,0.00121679,0.00121679,0.00121679
17,987.925,1.23031,0.78811,1.06668,0.76358,0.65931,0.73307,0.48456,1.22847,0.80505,1.12421,0.00120265,0.00120265,0.00120265
18,1044.53,1.21227,0.79846,1.07486,0.8843,0.66681,0.77188,0.50572,1.22398,0.75699,1.12362,0.0011885,0.0011885,0.0011885
19,1104.52,1.22381,0.77412,1.06984,0.76201,0.71449,0.76474,0.5103,1.20304,0.71465,1.10616,0.00117435,0.00117435,0.00117435
20,1163.75,1.1976,0.75712,1.06307,0.81406,0.69929,0.77618,0.52539,1.19855,0.72641,1.11378,0.00116021,0.00116021,0.00116021
21,1219.33,1.20911,0.76534,1.06661,0.74725,0.77889,0.78749,0.53489,1.2256,0.76284,1.11919,0.00114606,0.00114606,0.00114606
22,1275.84,1.18487,0.75762,1.0591,0.83677,0.70772,0.8138,0.55927,1.18675,0.72365,1.11126,0.00113191,0.00113191,0.00113191
23,1335.16,1.18893,0.74915,1.06048,0.75941,0.76954,0.81733,0.5485,1.19117,0.66608,1.1034,0.00111776,0.00111776,0.00111776
24,1394.42,1.19657,0.74077,1.05648,0.85722,0.69264,0.76612,0.49875,1.21016,0.71209,1.1151,0.00110362,0.00110362,0.00110362
25,1450.34,1.17785,0.71783,1.05266,0.85713,0.71482,0.82484,0.55715,1.20186,0.67976,1.11984,0.00108947,0.00108947,0.00108947
26,1507.69,1.1848,0.72856,1.05197,0.79552,0.71625,0.77001,0.52129,1.20075,0.70754,1.10818,0.00107532,0.00107532,0.00107532
27,1566.35,1.14985,0.71214,1.0442,0.81885,0.77286,0.84187,0.57521,1.19505,0.69189,1.11091,0.00106118,0.00106118,0.00106118
28,1622.67,1.15553,0.71737,1.05014,0.84981,0.73122,0.8146,0.54454,1.21001,0.68286,1.11618,0.00104703,0.00104703,0.00104703
29,1680.48,1.15241,0.70536,1.0422,0.77338,0.76485,0.78665,0.52965,1.21179,0.67368,1.11689,0.00103288,0.00103288,0.00103288
30,1735.37,1.15583,0.69513,1.04269,0.78935,0.75943,0.75283,0.51767,1.18329,0.663,1.09323,0.00101873,0.00101873,0.00101873
31,1790.64,1.1615,0.6985,1.0461,0.7683,0.75633,0.80182,0.5504,1.19422,0.65793,1.10907,0.00100459,0.00100459,0.00100459
32,1850.16,1.13548,0.67953,1.03797,0.80741,0.72534,0.82052,0.5626,1.19775,0.63195,1.09833,0.00099044,0.00099044,0.00099044
33,1910.97,1.14642,0.68557,1.03586,0.76011,0.79407,0.82625,0.57377,1.18451,0.63124,1.10332,0.000976293,0.000976293,0.000976293
34,1966.49,1.14933,0.67776,1.03979,0.81,0.77911,0.851,0.58508,1.1781,0.65624,1.1008,0.000962146,0.000962146,0.000962146
35,2022.66,1.13765,0.68134,1.03888,0.79848,0.7435,0.81397,0.53618,1.19113,0.6652,1.09967,0.000947999,0.000947999,0.000947999
36,2081.2,1.13794,0.67409,1.02926,0.82835,0.71827,0.78182,0.53082,1.1932,0.64113,1.10973,0.000933851,0.000933851,0.000933851
37,2139.31,1.14737,0.66972,1.03914,0.78716,0.76893,0.82406,0.56508,1.17979,0.62309,1.10857,0.000919704,0.000919704,0.000919704
38,2195.08,1.12101,0.64356,1.02991,0.86392,0.71769,0.80282,0.55013,1.19541,0.63478,1.10686,0.000905557,0.000905557,0.000905557
39,2250.41,1.09051,0.64269,1.01996,0.81796,0.74955,0.81875,0.56519,1.17611,0.63192,1.09104,0.00089141,0.00089141,0.00089141
40,2310.73,1.1139,0.65258,1.02774,0.81017,0.77765,0.80819,0.54357,1.17489,0.61733,1.08984,0.000877263,0.000877263,0.000877263
41,2369.45,1.10967,0.65373,1.01693,0.78527,0.78826,0.80383,0.54484,1.17076,0.64367,1.08432,0.000863116,0.000863116,0.000863116
