epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5206,1.67261,2.55946,1.32837,0.84266,0.21169,0.35828,0.19241,1.49473,2.44362,1.27611,0.000471211,0.000471211,0.000471211
2,147.611,1.4579,1.46111,1.17116,0.84425,0.3789,0.47746,0.27741,1.3846,1.70395,1.16816,0.000938164,0.000938164,0.000938164
3,215.929,1.44157,1.36172,1.18175,0.87,0.40981,0.48335,0.28489,1.46626,1.47097,1.22725,0.00139569,0.00139569,0.00139569
4,283.874,1.39298,1.24376,1.15477,0.59376,0.54805,0.54603,0.3229,1.40824,1.27744,1.18356,0.00138656,0.00138656,0.00138656
5,351.027,1.3822,1.13977,1.15021,0.60162,0.53929,0.56807,0.34742,1.38392,1.15361,1.19293,0.00137241,0.00137241,0.00137241
6,418.615,1.36803,1.07403,1.13399,0.69176,0.55989,0.61061,0.39273,1.28497,1.00797,1.11599,0.00135826,0.00135826,0.00135826
7,485.323,1.34223,1.00485,1.1424,0.62252,0.59166,0.61396,0.38755,1.24884,0.89218,1.10413,0.00134412,0.00134412,0.00134412
8,552.32,1.32196,0.98485,1.1245,0.93348,0.48906,0.60688,0.37912,1.2584,0.95261,1.13054,0.00132997,0.00132997,0.00132997
9,619.363,1.29798,0.95124,1.11368,0.75537,0.5954,0.64304,0.39761,1.29071,0.87168,1.14481,0.00131582,0.00131582,0.00131582
10,686.838,1.31166,0.9256,1.10853,0.84802,0.61382,0.67729,0.43691,1.25024,0.8278,1.10155,0.00130168,0.00130168,0.00130168
11,753.536,1.266,0.88095,1.09862,0.80659,0.62185,0.69674,0.45399,1.20759,0.79828,1.07965,0.00128753,0.00128753,0.00128753
12,822.857,1.28389,0.86045,1.09642,0.74691,0.58229,0.64353,0.41344,1.22825,0.87924,1.10015,0.00127338,0.00127338,0.00127338
13,888.74,1.259,0.84955,1.08249,0.79587,0.6254,0.69998,0.45581,1.19471,0.80393,1.07867,0.00125923,0.00125923,0.00125923
14,956.853,1.26015,0.84163,1.09486,0.71962,0.66807,0.7307,0.47714,1.16659,0.76901,1.06267,0.00124509,0.00124509,0.00124509
15,1023.35,1.25535,0.82916,1.08437,0.71348,0.64328,0.6923,0.44613,1.19995,0.78985,1.08933,0.00123094,0.00123094,0.00123094
16,1092.37,1.23722,0.8239,1.08022,0.82674,0.61941,0.71895,0.46665,1.20117,0.77551,1.07479,0.00121679,0.00121679,0.00121679
17,1157.73,1.24306,0.81854,1.08808,0.75839,0.59915,0.6995,0.45068,1.18294,0.76965,1.06109,0.00120265,0.00120265,0.00120265
18,1227.66,1.23073,0.80416,1.07472,0.86807,0.6258,0.74213,0.4896,1.16538,0.74071,1.05222,0.0011885,0.0011885,0.0011885
19,1292.97,1.21609,0.78833,1.06519,0.80344,0.64615,0.7313,0.48343,1.19191,0.73845,1.07025,0.00117435,0.00117435,0.00117435
20,1362.12,1.21414,0.77068,1.06287,0.84558,0.66157,0.73607,0.47917,1.18192,0.72726,1.06532,0.00116021,0.00116021,0.00116021
21,1427.5,1.2171,0.76472,1.07147,0.76842,0.69552,0.72222,0.48226,1.17217,0.71942,1.06042,0.00114606,0.00114606,0.00114606
22,1495.14,1.19657,0.76424,1.06075,0.72603,0.7126,0.75054,0.50101,1.14305,0.72747,1.04401,0.00113191,0.00113191,0.00113191
23,1561.47,1.19389,0.73753,1.05304,0.77502,0.66276,0.69371,0.46588,1.15131,0.70707,1.04546,0.00111776,0.00111776,0.00111776
24,1629.47,1.20229,0.74256,1.05436,0.85734,0.66672,0.73094,0.48332,1.16829,0.73086,1.0698,0.00110362,0.00110362,0.00110362
25,1696.05,1.18151,0.73316,1.05698,0.77621,0.6609,0.72876,0.47719,1.18236,0.70081,1.06659,0.00108947,0.00108947,0.00108947
26,1764.45,1.169,0.72504,1.04554,0.87088,0.59955,0.71675,0.4751,1.1837,0.69604,1.06982,0.00107532,0.00107532,0.00107532
27,1830.43,1.17847,0.70661,1.04882,0.73475,0.76079,0.77717,0.50415,1.17688,0.6795,1.0687,0.00106118,0.00106118,0.00106118
28,1899.33,1.15578,0.69322,1.04625,0.84577,0.69339,0.76369,0.50898,1.15833,0.69671,1.0578,0.00104703,0.00104703,0.00104703
