epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9357,1.69568,2.54923,1.36015,0.8424,0.1963,0.39616,0.2367,1.45836,2.36843,1.19035,0.000471211,0.000471211,0.000471211
2,132.351,1.46337,1.47732,1.19257,0.87332,0.465,0.54223,0.31455,1.44602,1.41459,1.2318,0.000938164,0.000938164,0.000938164
3,190.273,1.41188,1.36103,1.18813,0.89596,0.4711,0.53682,0.31607,1.47842,1.25116,1.23414,0.00139569,0.00139569,0.00139569
4,247.341,1.41255,1.2446,1.17275,0.85483,0.428,0.51482,0.32003,1.45969,1.32056,1.28713,0.00138656,0.00138656,0.00138656
5,305.33,1.40158,1.1782,1.17779,0.49983,0.5405,0.54945,0.34608,1.35592,1.13501,1.20599,0.00137241,0.00137241,0.00137241
6,365.343,1.36317,1.06189,1.14761,0.59074,0.55408,0.61827,0.39142,1.35898,0.9861,1.18849,0.00135826,0.00135826,0.00135826
7,426.528,1.31299,0.98263,1.12313,0.68735,0.54269,0.61629,0.40205,1.33196,1.05933,1.17594,0.00134412,0.00134412,0.00134412
8,488.272,1.3355,0.97828,1.12822,0.7238,0.57465,0.6572,0.41872,1.36681,1.06341,1.19335,0.00132997,0.00132997,0.00132997
9,553.727,1.2817,0.93088,1.12764,0.572,0.64338,0.61687,0.39442,1.29998,0.9971,1.1594,0.00131582,0.00131582,0.00131582
10,614.42,1.30113,0.92296,1.12098,0.76047,0.64406,0.70522,0.45973,1.30235,0.87613,1.1436,0.00130168,0.00130168,0.00130168
11,681.949,1.27205,0.89486,1.10708,0.7911,0.67611,0.72504,0.49058,1.2681,0.84441,1.14085,0.00128753,0.00128753,0.00128753
12,743.374,1.27191,0.88372,1.11032,0.69232,0.66332,0.7109,0.46226,1.26573,0.90428,1.1385,0.00127338,0.00127338,0.00127338
13,804.408,1.24611,0.84814,1.09575,0.75781,0.61973,0.68113,0.4349,1.29437,0.86001,1.15572,0.00125923,0.00125923,0.00125923
14,869.115,1.23671,0.8299,1.09727,0.75966,0.68137,0.70952,0.46356,1.29334,0.78345,1.14083,0.00124509,0.00124509,0.00124509
15,930.795,1.24868,0.85927,1.10479,0.80286,0.61914,0.68214,0.45543,1.29505,0.83633,1.13749,0.00123094,0.00123094,0.00123094
16,998.573,1.22526,0.80009,1.09374,0.73408,0.68939,0.70436,0.44879,1.31526,0.84746,1.16146,0.00121679,0.00121679,0.00121679
17,1059.06,1.23424,0.80287,1.08614,0.7502,0.65728,0.70458,0.44882,1.30807,0.82626,1.15476,0.00120265,0.00120265,0.00120265
18,1120.56,1.20955,0.79786,1.08237,0.85118,0.70226,0.77915,0.5145,1.24326,0.72143,1.11688,0.0011885,0.0011885,0.0011885
19,1185.08,1.20848,0.77498,1.07626,0.81596,0.69405,0.79074,0.53374,1.23794,0.76,1.11556,0.00117435,0.00117435,0.00117435
20,1250.95,1.21113,0.77659,1.07791,0.83818,0.75005,0.80213,0.52917,1.22642,0.71486,1.11459,0.00116021,0.00116021,0.00116021
21,1314.43,1.19241,0.7512,1.0684,0.81588,0.65422,0.73335,0.47798,1.24811,0.78531,1.12387,0.00114606,0.00114606,0.00114606
22,1374.47,1.20464,0.75406,1.07361,0.83165,0.73328,0.79595,0.52849,1.24764,0.77124,1.12915,0.00113191,0.00113191,0.00113191
23,1432.27,1.17391,0.7384,1.05896,0.83859,0.79058,0.83176,0.55993,1.22937,0.73777,1.1184,0.00111776,0.00111776,0.00111776
24,1490.94,1.18261,0.73689,1.05017,0.85852,0.7518,0.8271,0.56204,1.20969,0.70226,1.09926,0.00110362,0.00110362,0.00110362
25,1551.41,1.18492,0.73198,1.07061,0.80169,0.7865,0.814,0.54397,1.2401,0.75083,1.11856,0.00108947,0.00108947,0.00108947
26,1611.04,1.15404,0.71279,1.0616,0.75852,0.81474,0.81995,0.52383,1.23658,0.72959,1.13555,0.00107532,0.00107532,0.00107532
27,1669.7,1.178,0.71986,1.05881,0.88163,0.70681,0.80257,0.53711,1.19909,0.68731,1.10242,0.00106118,0.00106118,0.00106118
28,1727.44,1.15349,0.70959,1.05099,0.79571,0.77058,0.79878,0.53514,1.23434,0.69599,1.11657,0.00104703,0.00104703,0.00104703
29,1784.92,1.18743,0.71138,1.0614,0.84722,0.73956,0.8051,0.53577,1.22495,0.68641,1.11418,0.00103288,0.00103288,0.00103288
30,1846.55,1.17167,0.71239,1.05783,0.86548,0.73216,0.80888,0.53494,1.2287,0.69135,1.11946,0.00101873,0.00101873,0.00101873
31,1906.06,1.16401,0.71623,1.0598,0.8798,0.76271,0.83311,0.5599,1.20329,0.66623,1.10549,0.00100459,0.00100459,0.00100459
32,1964.7,1.15056,0.70026,1.04985,0.75179,0.78132,0.77457,0.51966,1.21981,0.69309,1.1038,0.00099044,0.00099044,0.00099044
33,2022.93,1.13363,0.67795,1.04411,0.83343,0.80247,0.84487,0.5675,1.20063,0.66765,1.10766,0.000976293,0.000976293,0.000976293
34,2083.95,1.15017,0.68712,1.05188,0.93684,0.72077,0.83818,0.56608,1.19268,0.66828,1.09325,0.000962146,0.000962146,0.000962146
