epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.673,1.68113,2.48569,1.33717,0.96097,0.16115,0.41969,0.24106,1.4664,2.51754,1.23624,0.000471211,0.000471211,0.000471211
2,371.58,1.43367,1.45204,1.1788,0.90008,0.43321,0.51135,0.31307,1.36301,1.33866,1.18601,0.000938164,0.000938164,0.000938164
3,428.001,1.43393,1.37622,1.18114,0.88031,0.42915,0.50426,0.29328,1.49169,1.40967,1.23713,0.00139569,0.00139569,0.00139569
4,483.966,1.37203,1.23444,1.17406,0.90521,0.46746,0.55786,0.33846,1.32743,1.07865,1.18265,0.00138656,0.00138656,0.00138656
5,543.709,1.36065,1.14759,1.16095,0.90843,0.46703,0.55507,0.34202,1.32164,1.10444,1.17078,0.00137241,0.00137241,0.00137241
6,601.025,1.33999,1.08064,1.14695,0.61861,0.58827,0.63025,0.37339,1.36331,0.96358,1.16226,0.00135826,0.00135826,0.00135826
7,658.867,1.32497,1.00864,1.13841,0.67637,0.5936,0.66218,0.41766,1.29344,0.90506,1.15312,0.00134412,0.00134412,0.00134412
8,718.473,1.32818,0.97308,1.12975,0.64875,0.54961,0.59707,0.37571,1.29181,0.93444,1.14557,0.00132997,0.00132997,0.00132997
9,774.655,1.29063,0.93204,1.1247,0.80079,0.5309,0.65662,0.41304,1.267,0.89199,1.13804,0.00131582,0.00131582,0.00131582
10,832.87,1.2945,0.91636,1.11978,0.70737,0.62661,0.67625,0.43399,1.26396,0.85967,1.13542,0.00130168,0.00130168,0.00130168
11,891.806,1.28632,0.87471,1.10351,0.6851,0.58257,0.64831,0.42222,1.24783,0.89517,1.12388,0.00128753,0.00128753,0.00128753
12,948.192,1.27295,0.874,1.10223,0.71648,0.69888,0.70381,0.45901,1.21786,0.78367,1.09501,0.00127338,0.00127338,0.00127338
13,1005.02,1.24645,0.8636,1.09418,0.68965,0.64331,0.67508,0.44041,1.22975,0.79,1.10821,0.00125923,0.00125923,0.00125923
14,1063.62,1.23318,0.82612,1.08365,0.68501,0.61865,0.65463,0.4204,1.25495,0.88571,1.12998,0.00124509,0.00124509,0.00124509
15,1120.55,1.24741,0.83844,1.09551,0.60335,0.60781,0.65031,0.42309,1.23448,0.84191,1.11548,0.00123094,0.00123094,0.00123094
16,1181.24,1.23253,0.80439,1.08775,0.80837,0.63522,0.71118,0.46052,1.22348,0.77017,1.11948,0.00121679,0.00121679,0.00121679
17,1236.83,1.22853,0.79829,1.08425,0.71007,0.66,0.7394,0.47622,1.22735,0.85503,1.12168,0.00120265,0.00120265,0.00120265
18,1292.44,1.22393,0.79206,1.08489,0.69621,0.69398,0.74105,0.49146,1.20284,0.75059,1.08454,0.0011885,0.0011885,0.0011885
19,1347.64,1.20721,0.78962,1.08038,0.78476,0.72774,0.77054,0.50531,1.23378,0.78116,1.12375,0.00117435,0.00117435,0.00117435
20,1403.28,1.21104,0.76313,1.07651,0.79081,0.69807,0.77135,0.50179,1.23466,0.75473,1.12637,0.00116021,0.00116021,0.00116021
21,1461.53,1.21582,0.79057,1.08047,0.75935,0.72947,0.7561,0.48695,1.22719,0.77688,1.11151,0.00114606,0.00114606,0.00114606
22,1516.43,1.19028,0.76551,1.08042,0.80764,0.61151,0.69926,0.46244,1.2228,0.78572,1.10801,0.00113191,0.00113191,0.00113191
